Id,Event,Venue,DateTime
50cd6a66-ac2c-4615-8c51-7caa3abc6255,Boston Red Sox vs Baltimore Orioles,Fenway Park (Baseball),9/25/2015 7:10:00 PM 
59588cc0-7e62-4eb2-b338-3e574a00555d,Boston Red Sox vs Chicago White Sox,Fenway Park (Baseball),7/27/2015 7:10:00 PM 
eef67725-0e03-4d9a-9f53-ca2745ae1467,Boston Red Sox vs Chicago White Sox,Fenway Park (Baseball),7/28/2015 7:10:00 PM 
4cb58e9a-b606-4a7b-bc6a-54c89781c44b,Boston Red Sox vs Chicago White Sox,Fenway Park (Baseball),7/29/2015 7:10:00 PM 
5d521be4-bf90-430b-a32b-471a3feed7b7,Boston Red Sox vs Chicago White Sox,Fenway Park (Baseball),7/30/2015 7:10:00 PM 
8710c5d3-565b-4fb8-ba83-4ce7efda5878,Boston Red Sox vs Cleveland Indians,Fenway Park (Baseball),8/17/2015 7:10:00 PM 
6edac74e-9d68-482e-bc3c-20651b6a8a22,Boston Red Sox vs Cleveland Indians,Fenway Park (Baseball),8/18/2015 7:10:00 PM 
fa2cc86a-ec2c-43f5-bca9-973bf3850555,Boston Red Sox vs Cleveland Indians,Fenway Park (Baseball),8/19/2015 7:10:00 PM 
de3c499e-c634-41be-b0c0-b5ebe74fb071,Boston Red Sox vs Detroit Tigers,Fenway Park (Baseball),7/24/2015 7:10:00 PM 
369a50b2-6aa8-45f3-86a7-bee65907d631,Boston Red Sox vs Houston Astros,Fenway Park (Baseball),7/3/2015 7:10:00 PM 
cfb8a1fe-c477-40ec-a57b-32d18bce9f47,Boston Red Sox vs Houston Astros,Fenway Park (Baseball),7/4/2015 1:35:00 PM 
01cc99c1-63da-4484-a0cc-c31a6d851bee,Boston Red Sox vs Baltimore Orioles (Preseason),JetBlue Park,3/20/2015 1:05:00 PM 
ac9701ff-1995-47e4-8a3c-6257a527f874,Boston Red Sox vs Kansas City Royals,Fenway Park (Baseball),8/20/2015 7:10:00 PM 
d3a73126-8cbc-4484-978b-68deeebd2ec7,Blue Man Group,Charles Playhouse,6/21/2015 5:00:00 PM 
e22d9dbe-0b5c-40c2-ade4-5ea478240c7c,Boston Red Sox vs Kansas City Royals,Fenway Park (Baseball),8/21/2015 7:10:00 PM 
ef5c0fc9-c29a-49ad-a844-f4c1f4a4c850,Boston Red Sox vs Los Angeles Angels,Fenway Park (Baseball),5/22/2015 7:10:00 PM 
578d95ff-8caf-462e-972a-141a8a86f61a,Boston Red Sox vs Los Angeles Angels,Fenway Park (Baseball),5/23/2015 7:15:00 PM 
fd1707c0-e542-4460-8008-a93293555ad8,Boston Red Sox vs Miami Marlins,Fenway Park (Baseball),7/7/2015 7:10:00 PM 
f4afc1e7-e703-409f-846b-461ed0e3d834,Boston Red Sox vs Miami Marlins,Fenway Park (Baseball),7/8/2015 7:10:00 PM 
e22b1668-2091-4067-b417-28268732645f,Boston Red Sox vs Miami Marlins (Preseason),JetBlue Park,3/6/2015 1:05:00 PM 
eab356a5-e6e0-475d-9264-fd946f2f8535,Boston Red Sox vs Minnesota Twins,Fenway Park (Baseball),6/1/2015 7:10:00 PM 
97581205-9dd2-47b1-a0ab-e7c6864694a8,Boston Red Sox vs Minnesota Twins,Fenway Park (Baseball),6/2/2015 7:10:00 PM 
5802fb8a-54da-48e0-ace5-e912f268301e,Boston Red Sox vs Minnesota Twins,Fenway Park (Baseball),6/3/2015 7:10:00 PM 
8c5c6660-cbc5-4031-9052-e94008d28c75,Boston Red Sox vs Minnesota Twins,Fenway Park (Baseball),6/4/2015 4:05:00 PM 
c60d4567-8a9f-4d30-914f-a525a8a1531a,Boston Red Sox vs Minnesota Twins (Preseason),JetBlue Park,3/7/2015 1:05:00 PM 
171059a0-cf73-49cc-88d7-d11b05b35242,Boston Red Sox vs Minnesota Twins (Preseason),JetBlue Park,4/3/2015 7:05:00 PM 
2c67e4bb-07ca-4784-850f-4cab3fb164a6,Boston Red Sox vs New York Yankees,Fenway Park (Baseball),5/1/2015 7:10:00 PM 
67b2d1b6-46a0-4189-9009-187658b0eea9,Boston Red Sox vs Minnesota Twins (Preseason),JetBlue Park,3/26/2015 1:05:00 PM 
3517952c-19e9-4f00-912a-876cffab6614,Boston Red Sox vs Minnesota Twins (Preseason),JetBlue Park,3/30/2015 7:05:00 PM 
ca68cbbc-276d-4a32-92a1-6b51da1335cc,Boston Red Sox vs Minnesota Twins (Preseason),JetBlue Park,3/18/2015 1:05:00 PM 
e69a2f8e-b9df-4345-b4a3-7100354007ed,Boston Red Sox vs New York Mets (Preseason),JetBlue Park,3/16/2015 1:05:00 PM 
7f2351ba-43f1-4251-b382-77008690d4f9,Boston Red Sox vs New York Yankees,Fenway Park (Baseball),7/10/2015 7:10:00 PM 
a201a089-6d05-472c-a924-ecbc5485aed9,Boston Red Sox vs New York Yankees,Fenway Park (Baseball),7/11/2015 7:15:00 PM 
5937bfa4-9c5f-40af-b3ff-48e180844d06,Boston Red Sox vs New York Yankees,Fenway Park (Baseball),8/31/2015 7:10:00 PM 
c1f08bfe-9154-450d-a3f3-53ad86c2b964,Boston Red Sox vs New York Yankees,Fenway Park (Baseball),9/1/2015 7:10:00 PM 
091576b7-36a1-4972-a5b4-ead8586cfa50,Boston Red Sox vs New York Yankees,Fenway Park (Baseball),9/2/2015 4:05:00 PM 
a98776a4-9981-4047-a2fa-de5ce78010f9,Boston Red Sox vs New York Yankees (Preseason),JetBlue Park,3/13/2015 7:05:00 PM 
5a2d42f1-a6df-42c1-968a-1f7b5d02461f,Boston Red Sox vs Oakland Athletics,Fenway Park (Baseball),6/5/2015 7:10:00 PM 
5f5174bb-558a-469d-be21-03a59212aac4,Boston Red Sox vs Northeastern University - Boston Red Sox vs Boston College Eagles,JetBlue Park,3/3/2015 1:05:00 PM 
6d81d42f-3351-469a-8d7c-b063acb73a0e,Boston Red Sox vs Oakland Athletics,Fenway Park (Baseball),6/6/2015 4:05:00 PM 
94843229-409d-461b-ab24-425b00c2358b,Boston Red Sox vs Philadelphia Phillies,Fenway Park (Baseball),9/4/2015 7:10:00 PM 
98472546-2488-4448-be11-a5e3041e4a68,Boston Red Sox vs Pittsburgh Pirates (Preseason),JetBlue Park,3/14/2015 1:05:00 PM 
2484ef0d-eecf-4d95-bc9c-5d22f1d78801,Boston Red Sox vs Seattle Mariners,Fenway Park (Baseball),8/14/2015 7:10:00 PM 
dc54842a-3d1d-46e8-8a95-da704cebca78,Boston Red Sox vs Tampa Bay Rays,Fenway Park (Baseball),5/4/2015 7:10:00 PM 
7c8c29bc-6e9e-4879-b9ea-e1e55d3c068e,Boston Red Sox vs Tampa Bay Rays,Fenway Park (Baseball),5/5/2015 7:10:00 PM 
4f5a48e4-d51a-42c1-ae2c-6c845e9c3fec,Boston Red Sox vs Tampa Bay Rays,Fenway Park (Baseball),5/6/2015 7:10:00 PM 
b7e597de-400c-41df-a6c1-4038dbcc7f6f,Boston Red Sox vs Tampa Bay Rays,Fenway Park (Baseball),7/31/2015 7:10:00 PM 
d46fd67d-6f49-4cd5-bf84-67c93a5c5b95,Boston Red Sox vs Tampa Bay Rays,Fenway Park (Baseball),9/21/2015 7:10:00 PM 
05c80d72-3e84-413b-8a7c-a26675827292,Boston Red Sox vs Tampa Bay Rays,Fenway Park (Baseball),9/22/2015 7:10:00 PM 
88b55d2b-4f1f-4bf1-8ec3-671496a5c720,Boston Red Sox vs Tampa Bay Rays,Fenway Park (Baseball),9/23/2015 7:10:00 PM 
804e1a04-171e-40aa-b64b-edc763de24de,Boston Red Sox vs Tampa Bay Rays,Fenway Park (Baseball),9/24/2015 7:10:00 PM 
5f994ab0-2aef-4f7a-ab06-e20d2c4b56f5,Boston Red Sox vs Tampa Bay Rays (Preseason),JetBlue Park,3/10/2015 1:05:00 PM 
a0397277-8419-4eec-b32b-892e554318b3,Boston Red Sox vs Tampa Bay Rays (Preseason),JetBlue Park,3/29/2015 1:05:00 PM 
763c5d81-70eb-4ec0-a428-ae5aa488ddc4,Boston Red Sox vs Texas Rangers,Fenway Park (Baseball),5/19/2015 7:10:00 PM 
59ca6372-67ca-4d58-b242-6e0dd56f09c9,Boston Red Sox vs Philadelphia Phillies (Preseason),JetBlue Park,3/22/2015 1:05:00 PM 
